"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Nivel de Competencia;
3;34221;Entrenadores y preparadores físicos / Entrenadoras y preparadoras físicas;3;
3;34222;Árbitros / Árbitras;3;
3;34231;Instructores de educación física y recreación / Instructoras de educación física y recreación;3;
3;34232;Recreadores / Recreadoras;2;
3;34310;Fotógrafos / Fotógrafas;3;
3;34320;Decoradores de interiores / Decoradoras de interiores;3;
3;34331;Ocupaciones técnicas relacionadas con museos y galerías;3;
3;34332;Técnicos en biblioteca / Técnicas en biblioteca;3;
3;34333;Técnicos en promoción y animación a la lectura y la escritura / Técnicas en promoción y animación a la lectura y la escritura;3;
3;34340;Chefs;3;
3;34351;Otros técnicos de actividades artísticas / Otras técnicas de actividades artísticas;3;
3;34352;Artistas corporales;3;
3;34353;Auxiliares de producción de eventos y espectáculos;2;
3;34354;Asistentes de dirección y producción en las artes escénicas y audiovisuales / Asistentas de dirección y producción en las artes escénicas y audiovisuales;3;
